id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,fare_amount
id1000024,1,2016-04-11 21:25:44,2016-04-11 22:14:13,2,-73.768164,40.636109,-73.865047,40.771499,N,2909,81.45
id1000025,1,2016-02-29 17:33:46,2016-02-29 17:52:38,1,-74.005388,40.778429,-73.971985,40.760751,N,1132,18.67
id1000026,1,2016-06-01 16:11:29,2016-06-01 16:39:02,2,-73.964557,40.704888,-74.01265,40.78708,N,1653,36.91
id1000027,2,2016-02-01 18:01:39,2016-02-01 18:15:21,1,-73.980733,40.79228,-74.005289,40.771084,N,822,17.36
id1000028,2,2016-02-11 17:42:51,2016-02-11 17:46:08,5,-73.987679,40.755038,-73.990812,40.758422,N,197,8.58
id1000029,1,2016-06-03 14:33:08,2016-06-03 14:59:47,3,-73.95193,40.803691,-73.976171,40.744982,N,1599,29.75
id1000030,2,2016-01-11 16:05:38,2016-01-11 16:25:34,1,-73.955802,40.786421,-73.947372,40.752145,N,1196,21.57
id1000031,1,2016-04-22 08:51:51,2016-04-22 09:05:38,2,-73.98407,40.709677,-74.005884,40.714035,N,827,13.71
id1000032,2,2016-06-20 16:06:01,2016-06-20 17:02:57,1,-74.00719,40.754459,-73.778959,40.639122,N,3416,99.72
id1000033,1,2016-05-23 16:05:08,2016-05-23 16:15:01,3,-73.994244,40.755767,-73.974761,40.740512,N,593,14.12
id1000034,2,2016-01-18 09:39:42,2016-01-18 10:01:04,1,-74.002569,40.720241,-73.966662,40.761448,Y,1282,23.76
id1000035,2,2016-05-26 01:25:26,2016-05-26 01:49:26,2,-73.968818,40.773963,-74.015069,40.71137,N,1440,30.48
id1000036,2,2016-02-26 16:14:30,2016-02-26 16:50:39,1,-73.956709,40.768521,-74.005523,40.716472,N,2169,32.78
id1000037,2,2016-04-22 05:16:06,2016-04-22 05:30:22,1,-74.01723,40.680886,-73.970312,40.738553,N,856,26.74
id1000038,2,2016-03-09 14:20:27,2016-03-09 14:23:58,1,-73.983915,40.763154,-73.995688,40.764427,N,211,7.62
id1000039,2,2016-05-02 18:12:32,2016-05-02 18:39:52,1,-73.979527,40.763555,-74.005482,40.794305,N,1640,23.52
id1000040,1,2016-05-11 06:19:20,2016-05-11 06:43:15,1,-73.989311,40.702874,-73.867367,40.778347,N,1435,39.88
id1000041,1,2016-05-14 04:17:56,2016-05-14 04:39:38,1,-73.876179,40.780103,-74.02988,40.763461,N,1302,41.02
id1000042,2,2016-01-30 14:26:14,2016-01-30 15:05:14,1,-73.977934,40.815354,-74.020085,40.657713,N,2340,56.03
id1000043,1,2016-05-05 04:03:24,2016-05-05 04:07:30,1,-73.984261,40.753359,-73.985318,40.772739,N,246,11.44
id1000044,1,2016-05-17 16:49:31,2016-05-17 17:10:22,1,-73.885711,40.79071,-73.967743,40.746414,N,1251,31.4
id1000045,1,2016-03-24 06:05:55,2016-03-24 07:03:18,2,-73.773772,40.632524,-73.960554,40.801554,N,3443,103.01
id1000046,1,2016-02-24 18:37:20,2016-02-24 19:02:31,1,-73.991696,40.782635,-73.878012,40.789511,N,1511,35.05
id1000047,1,2016-04-04 02:04:43,2016-04-04 02:12:06,1,-73.930149,40.766614,-73.969354,40.744459,N,443,16.49
id1000048,2,2016-04-28 15:15:44,2016-04-28 15:29:33,1,-73.9786,40.782588,-74.001209,40.745072,N,829,19.26
id1000049,1,2016-06-29 05:12:35,2016-06-29 05:24:06,1,-73.990847,40.785663,-73.950373,40.789727,N,691,15.81
id1000050,2,2016-05-21 04:40:00,2016-05-21 04:46:56,1,-73.965155,40.745269,-73.994542,40.732594,N,416,13.0
id1000051,1,2016-06-29 16:07:59,2016-06-29 16:17:51,1,-73.96986,40.783551,-73.991231,40.780183,N,592,12.15
id1000052,2,2016-02-13 12:53:59,2016-02-13 12:55:46,2,-73.769813,40.639633,-73.772411,40.638986,N,107,26.69
id1000053,2,2016-04-19 17:27:58,2016-04-19 17:38:22,1,-73.971154,40.763874,-73.953941,40.756394,N,624,12.57
id1000054,2,2016-03-10 21:59:06,2016-03-10 22:25:51,2,-73.990233,40.748814,-73.876803,40.762758,N,1605,35.09
id1000055,1,2016-02-01 01:08:18,2016-02-01 01:34:28,1,-73.756755,40.653983,-73.965626,40.768134,N,1570,78.89
id1000056,2,2016-02-23 02:58:46,2016-02-23 03:14:47,1,-73.999706,40.733243,-73.887881,40.794104,N,961,35.27
id1000057,1,2016-01-21 13:09:13,2016-01-21 13:22:52,1,-74.004937,40.704095,-74.021245,40.681641,N,819,14.79
id1000058,2,2016-06-18 21:10:49,2016-06-18 21:20:17,5,-73.969383,40.768908,-73.986753,40.746334,N,568,15.36
id1000059,1,2016-03-04 23:54:57,2016-03-05 00:15:44,1,-74.011564,40.760532,-73.928556,40.840994,N,1247,36.9
id1000060,2,2016-01-28 03:30:22,2016-01-28 04:01:00,3,-73.975042,40.770236,-73.774399,40.634352,N,1838,86.94
id1000061,1,2016-05-23 10:35:22,2016-05-23 10:47:56,1,-74.027774,40.730066,-74.010316,40.75861,N,754,18.54
id1000062,1,2016-04-17 12:15:17,2016-04-17 12:40:26,1,-74.005996,40.701443,-74.004623,40.743807,N,1509,24.1
id1000063,2,2016-02-27 06:21:48,2016-02-27 06:56:09,5,-73.789125,40.623767,-73.969739,40.729419,N,2061,83.15
id1000064,2,2016-02-03 09:05:25,2016-02-03 09:46:17,1,-73.950177,40.783716,-74.024768,40.718292,N,2452,41.61
id1000065,1,2016-02-18 11:08:52,2016-02-18 11:36:38,2,-73.987696,40.713902,-73.935283,40.762826,N,1666,29.45
id1000066,2,2016-03-19 01:45:50,2016-03-19 01:55:12,2,-73.988359,40.702021,-74.022719,40.68392,N,562,14.38
id1000067,2,2016-04-30 05:35:31,2016-04-30 05:49:24,1,-73.976692,40.740152,-73.940215,40.784431,N,833,22.64
id1000068,2,2016-06-23 23:19:13,2016-06-23 23:33:09,2,-73.981655,40.726812,-73.994986,40.764401,N,836,20.28
id1000069,2,2016-03-13 07:46:14,2016-03-13 08:13:22,1,-74.016524,40.706171,-73.984561,40.778344,N,1628,32.9
id1000070,2,2016-02-03 09:21:14,2016-02-03 09:32:50,5,-73.976529,40.740495,-73.981814,40.757228,N,696,14.29
id1000071,1,2016-04-10 10:08:02,2016-04-10 10:33:43,1,-74.010977,40.730059,-73.923138,40.885662,N,1541,52.5
id1000072,1,2016-04-29 10:32:29,2016-04-29 11:08:44,1,-73.887087,40.780516,-73.96356,40.722842,N,2175,35.9
id1000073,1,2016-05-19 04:06:32,2016-05-19 04:15:30,1,-73.997835,40.748309,-74.029804,40.769506,N,538,16.62
id1000074,1,2016-05-22 23:33:08,2016-05-22 23:43:10,1,-73.969654,40.768454,-73.992956,40.794648,N,602,15.62
id1000075,2,2016-05-21 19:37:48,2016-05-21 19:59:48,1,-74.008015,40.755851,-73.921885,40.804634,N,1320,30.95
id1000076,2,2016-02-12 01:59:10,2016-02-12 02:10:02,1,-74.008408,40.752611,-73.962037,40.764031,N,652,15.77
id1000077,1,2016-04-08 16:14:42,2016-04-08 16:23:36,2,-73.969393,40.776794,-73.978316,40.764133,N,534,13.35
id1000078,2,2016-02-29 21:09:37,2016-02-29 21:17:43,1,-74.04804,40.744584,-74.027923,40.751211,N,486,11.86
id1000079,2,2016-06-12 13:31:40,2016-06-12 14:29:15,1,-73.772263,40.646452,-74.036512,40.766205,N,3455,101.74
id1000080,2,2016-05-03 06:14:42,2016-05-03 06:31:22,1,-73.950894,40.771433,-73.964146,40.739177,N,1000,18.2
id1000081,1,2016-06-03 22:44:14,2016-06-03 22:55:34,1,-73.991951,40.72879,-73.994635,40.755861,N,680,16.02
id1000082,2,2016-05-05 00:51:01,2016-05-05 01:16:30,1,-73.77633,40.648162,-73.970878,40.778839,N,1529,82.9
id1000083,2,2016-01-20 01:34:35,2016-01-20 01:47:50,2,-74.002558,40.763194,-74.011704,40.722905,N,795,19.74
id1000084,1,2016-03-04 01:34:20,2016-03-04 01:49:24,1,-74.010101,40.751429,-73.932852,40.817636,N,904,31.93
id1000085,2,2016-05-02 18:45:53,2016-05-02 19:12:43,1,-73.974481,40.750108,-73.974418,40.685312,N,1610,29.67
id1000086,2,2016-01-12 22:07:23,2016-01-12 22:42:13,2,-73.94926,40.754347,-73.95607,40.655395,N,2090,39.85
id1000087,1,2016-05-03 03:22:28,2016-05-03 03:39:57,3,-74.029102,40.715949,-73.986487,40.776429,N,1049,27.06
id1000088,2,2016-02-14 21:34:13,2016-02-14 21:47:22,1,-74.010514,40.745803,-74.014568,40.714486,N,789,16.96
id1000089,2,2016-02-14 18:52:41,2016-02-14 19:13:39,1,-74.009343,40.704839,-74.004006,40.753638,N,1258,23.67
id1000090,1,2016-05-22 09:42:10,2016-05-22 10:07:43,1,-73.982768,40.77048,-73.773897,40.637775,N,1533,85.29
id1000091,1,2016-02-21 14:34:35,2016-02-21 14:49:08,1,-73.944433,40.815118,-73.973617,40.784916,N,873,17.51
id1000092,2,2016-05-26 09:39:54,2016-05-26 09:48:17,5,-73.997077,40.719436,-73.985355,40.704095,N,503,12.09
id1000093,1,2016-04-15 00:36:06,2016-04-15 00:41:14,2,-73.987101,40.755897,-73.983862,40.742927,N,308,10.12
id1000094,1,2016-02-27 12:21:51,2016-02-27 12:32:19,2,-73.96479,40.757625,-73.983031,40.778925,N,628,13.9
id1000095,1,2016-06-21 18:41:01,2016-06-21 19:25:13,1,-73.97269,40.803035,-74.019631,40.745681,N,2652,37.07
id1000096,1,2016-06-03 23:04:20,2016-06-03 23:20:40,2,-73.991671,40.765754,-73.878248,40.786287,N,980,31.45
id1000097,2,2016-02-08 12:34:07,2016-02-08 12:42:37,2,-73.968535,40.761875,-73.948869,40.746905,N,510,12.76
id1000098,1,2016-01-31 01:21:36,2016-01-31 01:29:51,5,-73.966349,40.763291,-74.017012,40.773008,N,495,17.34
id1000099,1,2016-06-05 20:22:13,2016-06-05 20:49:26,1,-73.962407,40.656285,-73.99125,40.763131,N,1633,39.99
id1000100,1,2016-06-23 10:41:10,2016-06-23 11:24:24,5,-73.991487,40.701762,-73.990807,40.769236,N,2594,36.14
id1000101,2,2016-02-20 03:13:38,2016-02-20 03:28:17,1,-73.963424,40.758745,-73.981588,40.699246,N,879,24.8
id1000102,1,2016-01-24 19:26:24,2016-01-24 19:35:38,1,-74.002827,40.765888,-73.978554,40.772272,N,554,11.51
id1000103,1,2016-04-25 22:33:52,2016-04-25 22:56:56,1,-73.964501,40.67362,-74.001694,40.728369,N,1384,27.65
id1000104,2,2016-06-06 15:29:41,2016-06-06 16:03:03,3,-73.78283,40.646029,-73.94692,40.758627,N,2002,80.76
id1000105,2,2016-02-29 23:58:09,2016-03-01 00:13:12,1,-74.008924,40.774632,-74.021072,40.739499,N,903,21.09
id1000106,1,2016-02-18 21:07:00,2016-02-18 21:12:24,1,-74.016939,40.692084,-73.99952,40.70734,N,324,11.78
id1000107,2,2016-05-24 12:23:13,2016-05-24 12:28:12,1,-74.002616,40.752186,-74.000252,40.738144,N,299,8.72
id1000108,1,2016-01-20 16:52:48,2016-01-20 17:17:33,1,-74.03964,40.802118,-73.983105,40.793046,N,1485,23.9
id1000109,2,2016-05-15 10:54:59,2016-05-15 11:21:28,1,-74.001337,40.635174,-74.016932,40.774589,N,1589,47.94
id1000110,2,2016-01-01 16:42:42,2016-01-01 16:53:13,3,-73.994916,40.715694,-73.98168,40.704562,N,631,11.76
id1000111,2,2016-06-03 05:02:20,2016-06-03 05:06:32,1,-73.977226,40.737789,-73.980418,40.751216,N,252,9.98
id1000112,1,2016-06-28 11:21:06,2016-06-28 11:39:01,1,-73.977264,40.785538,-73.994723,40.739225,N,1075,21.08
id1000113,1,2016-06-17 18:43:08,2016-06-17 19:04:08,5,-73.983338,40.727394,-74.005257,40.703172,N,1260,20.41
id1000114,1,2016-05-26 13:06:32,2016-05-26 13:16:53,3,-73.997077,40.761718,-73.992386,40.781654,N,621,12.79
id1000115,1,2016-01-22 02:18:41,2016-01-22 02:39:03,3,-73.882018,40.783322,-73.961965,40.752501,N,1222,28.51
id1000116,1,2016-05-25 18:02:41,2016-05-25 19:07:34,1,-73.774148,40.643257,-73.968765,40.737114,N,3893,93.07
id1000117,1,2016-02-23 15:50:57,2016-02-23 16:02:33,1,-73.957144,40.778135,-74.00548,40.75281,N,696,17.08
id1000118,2,2016-06-28 10:10:31,2016-06-28 10:14:41,1,-74.031792,40.701921,-74.031607,40.697731,N,250,8.97
id1000119,1,2016-01-18 16:51:16,2016-01-18 17:13:31,5,-73.968874,40.77006,-73.996499,40.744564,N,1335,21.19
id1000120,1,2016-02-28 23:12:13,2016-02-28 23:37:55,1,-73.999307,40.704347,-73.8728,40.781996,N,1542,43.27
id1000121,2,2016-05-23 23:15:43,2016-05-23 23:29:53,1,-73.958954,40.778228,-73.984285,40.734229,N,850,21.47
id1000122,1,2016-03-30 10:10:16,2016-03-30 10:33:03,1,-73.970862,40.720158,-74.014942,40.700222,N,1367,22.87
id1000123,1,2016-02-28 07:41:01,2016-02-28 08:10:34,1,-74.021099,40.731234,-73.975609,40.766098,N,1773,26.11
id1000124,2,2016-01-17 07:23:26,2016-01-17 08:08:22,1,-74.013868,40.796937,-73.775911,40.643461,N,2696,100.16
id1000125,1,2016-05-19 16:39:36,2016-05-19 16:55:44,1,-74.02544,40.70492,-73.998499,40.668853,N,968,20.28
id1000126,2,2016-02-15 09:54:48,2016-02-15 10:12:24,5,-73.968213,40.781499,-73.984568,40.753573,N,1056,19.04
id1000127,1,2016-06-21 18:59:06,2016-06-21 19:42:58,1,-73.964787,40.755318,-73.992146,40.697204,N,2632,36.14
id1000128,1,2016-02-20 11:29:29,2016-02-20 11:40:11,1,-73.988851,40.745954,-73.999066,40.7638,N,642,13.54
id1000129,2,2016-04-18 13:16:00,2016-04-18 13:21:03,1,-73.981773,40.705828,-73.968596,40.721418,N,303,11.0
id1000130,2,2016-04-08 16:52:06,2016-04-08 16:55:19,1,-73.988742,40.759714,-73.987325,40.756032,N,193,6.27
id1000131,1,2016-03-25 14:58:18,2016-03-25 15:17:06,3,-73.999811,40.673967,-73.96878,40.748838,N,1128,31.11
id1000132,1,2016-02-10 01:15:39,2016-02-10 01:30:18,6,-74.034397,40.723611,-73.883778,40.772273,N,879,39.73
id1000133,2,2016-01-29 09:28:31,2016-01-29 09:36:35,1,-73.987014,40.747614,-73.970709,40.751116,N,484,11.63
id1000134,2,2016-05-19 16:33:41,2016-05-19 17:03:25,1,-73.989911,40.693382,-73.922567,40.793526,N,1784,42.17
id1000135,2,2016-04-07 13:12:08,2016-04-07 13:26:32,1,-73.96013,40.757602,-74.006835,40.724017,N,864,20.33
id1000136,2,2016-02-12 04:18:15,2016-02-12 04:31:22,1,-73.960268,40.674652,-74.004669,40.720331,N,787,24.09
id1000137,1,2016-02-22 16:57:59,2016-02-22 17:22:45,1,-74.000009,40.706808,-73.95487,40.780189,N,1486,33.06
id1000138,2,2016-02-19 19:12:37,2016-02-19 20:06:00,1,-73.765326,40.640866,-73.997661,40.706263,N,3203,89.1
id1000139,2,2016-06-14 10:59:43,2016-06-14 11:28:12,1,-74.004874,40.731206,-74.021421,40.681095,N,1709,26.94
id1000140,1,2016-02-24 01:18:25,2016-02-24 01:27:25,1,-73.98767,40.73896,-73.951993,40.749325,N,540,15.74
id1000141,2,2016-05-21 23:00:59,2016-05-21 23:07:10,1,-74.003938,40.727328,-73.994702,40.74818,N,371,12.48
id1000142,2,2016-03-08 11:28:42,2016-03-08 11:42:18,1,-73.981736,40.676249,-74.008508,40.702048,N,816,17.99
id1000143,1,2016-06-19 10:42:59,2016-06-19 11:24:53,1,-74.034615,40.712356,-73.775401,40.642995,N,2514,85.04
id1000144,2,2016-06-08 08:56:52,2016-06-08 09:10:38,1,-74.002856,40.724144,-73.970289,40.723752,N,826,17.2
id1000145,2,2016-06-22 06:40:30,2016-06-22 06:47:10,1,-73.96242,40.762174,-73.955297,40.778537,N,400,11.29
id1000146,1,2016-05-06 22:05:35,2016-05-06 22:23:04,1,-74.028074,40.795597,-73.919594,40.767267,N,1049,32.3
id1000147,2,2016-05-11 06:35:23,2016-05-11 06:41:08,1,-73.99468,40.708404,-73.984288,40.711171,N,345,8.52
id1000148,2,2016-05-28 07:50:22,2016-05-28 08:14:28,1,-74.050131,40.734102,-73.954093,40.775367,N,1446,31.94
id1000149,2,2016-02-26 02:13:09,2016-02-26 02:17:15,1,-74.013848,40.731307,-74.003544,40.716592,N,246,10.88
id1000150,1,2016-06-12 06:49:10,2016-06-12 07:18:37,3,-73.778854,40.631854,-74.003174,40.740783,N,1767,79.69
id1000151,2,2016-02-24 00:27:14,2016-02-24 00:44:49,3,-73.862921,40.788691,-73.95181,40.719298,N,1055,33.91
id1000152,2,2016-03-25 23:05:49,2016-03-25 23:25:19,5,-73.988062,40.749361,-73.876778,40.779214,N,1170,33.87
id1000153,2,2016-02-09 05:54:20,2016-02-09 06:28:14,5,-74.000541,40.691686,-73.876723,40.782107,N,2034,48.83
id1000154,2,2016-06-19 09:57:35,2016-06-19 10:23:23,1,-74.003697,40.757046,-73.944709,40.764428,N,1548,23.66
id1000155,2,2016-06-12 04:44:20,2016-06-12 05:15:21,5,-73.969274,40.805807,-73.774354,40.640827,N,1861,84.72
id1000156,2,2016-03-14 06:44:59,2016-03-14 06:57:29,1,-73.986598,40.74273,-73.985876,40.783959,N,750,18.24
id1000157,2,2016-04-21 22:52:18,2016-04-21 23:36:41,5,-73.929157,40.777082,-73.775915,40.639381,N,2663,84.55
id1000158,1,2016-02-21 14:07:35,2016-02-21 14:28:00,1,-73.98144,40.737201,-74.021927,40.783271,N,1225,24.08
id1000159,2,2016-03-16 10:16:28,2016-03-16 11:02:24,1,-73.783373,40.637549,-73.876344,40.776289,N,2756,84.47
id1000160,2,2016-06-07 01:22:28,2016-06-07 01:30:32,2,-73.963963,40.777944,-74.002488,40.766436,N,484,13.24
id1000161,2,2016-02-26 17:25:38,2016-02-26 17:56:39,1,-73.99317,40.672391,-73.95342,40.775801,N,1861,42.34
id1000162,1,2016-03-17 15:00:29,2016-03-17 15:16:31,1,-73.983237,40.732562,-74.012206,40.692421,N,962,20.4
id1000163,2,2016-05-20 02:48:48,2016-05-20 03:06:10,1,-73.976796,40.742478,-73.777424,40.644448,N,1042,77.92
id1000164,2,2016-01-15 07:54:12,2016-01-15 08:12:56,1,-74.020457,40.701726,-73.989173,40.703413,N,1124,18.85
id1000165,1,2016-05-21 06:15:59,2016-05-21 06:59:23,1,-74.026547,40.773294,-73.765683,40.650753,N,2604,91.95
id1000166,1,2016-01-09 21:57:16,2016-01-09 22:41:45,1,-73.769499,40.644338,-73.980164,40.751232,N,2669,85.66
id1000167,2,2016-05-03 13:06:54,2016-05-03 13:41:07,1,-73.777171,40.645884,-74.00253,40.750966,N,2053,85.82
id1000168,1,2016-02-14 03:17:01,2016-02-14 03:33:11,1,-74.01104,40.758569,-74.018877,40.697157,N,970,24.82
id1000169,2,2016-01-26 23:23:54,2016-01-26 23:39:49,1,-73.967548,40.676503,-73.979618,40.756611,N,955,29.56
id1000170,2,2016-01-16 09:47:15,2016-01-16 10:04:48,1,-73.945315,40.742473,-73.957892,40.78968,N,1053,21.64
id1000171,1,2016-02-10 08:15:40,2016-02-10 08:30:31,1,-73.987533,40.720482,-74.007232,40.693445,N,891,16.14
id1000172,1,2016-05-04 14:50:35,2016-05-04 15:12:42,1,-73.943881,40.78978,-74.010341,40.826471,N,1327,27.32
id1000173,1,2016-06-25 22:20:54,2016-06-25 22:34:07,1,-74.017694,40.668482,-74.038188,40.704524,N,793,18.68
id1000174,1,2016-06-14 02:22:16,2016-06-14 02:41:43,1,-73.980509,40.73764,-74.030349,40.696938,N,1167,23.91
id1000175,1,2016-05-24 22:00:07,2016-05-24 22:18:31,1,-73.978403,40.735283,-73.992484,40.68868,N,1104,22.28
id1000176,2,2016-06-07 16:34:07,2016-06-07 17:29:37,1,-74.011102,40.727668,-73.971996,40.785498,N,3330,39.23
id1000177,1,2016-02-24 16:22:40,2016-02-24 17:21:06,1,-73.931555,40.824157,-73.791406,40.631091,N,3506,97.92
id1000178,2,2016-03-11 22:32:18,2016-03-11 22:54:47,4,-73.894717,40.780788,-73.990385,40.784187,N,1349,29.92
id1000179,1,2016-02-10 06:01:14,2016-02-10 06:05:31,1,-73.927765,40.766825,-73.928336,40.772354,N,257,8.4
id1000180,2,2016-05-12 14:23:28,2016-05-12 14:51:03,1,-73.885317,40.781228,-73.978377,40.79192,N,1655,31.46
id1000181,2,2016-06-18 04:35:07,2016-06-18 04:52:58,1,-73.867674,40.774887,-73.92096,40.807345,N,1071,23.96
id1000182,2,2016-06-17 10:16:58,2016-06-17 11:03:48,1,-74.008803,40.684891,-73.873966,40.781527,N,2810,56.53
id1000183,2,2016-03-03 10:56:20,2016-03-03 11:23:00,2,-73.98611,40.776458,-73.987645,40.691456,N,1600,35.74
id1000184,1,2016-03-11 13:48:06,2016-03-11 14:21:12,1,-73.779744,40.64101,-73.979844,40.737767,N,1986,80.51
id1000185,2,2016-04-01 18:51:03,2016-04-01 19:39:50,1,-73.960622,40.771173,-73.763534,40.636253,N,2927,87.52
id1000186,2,2016-06-19 02:57:38,2016-06-19 03:05:42,1,-73.972684,40.763626,-73.954044,40.736479,N,484,15.23
id1000187,2,2016-06-12 11:57:10,2016-06-12 12:13:15,1,-73.966466,40.729117,-73.995352,40.692561,N,965,21.56
id1000188,2,2016-06-18 10:23:32,2016-06-18 10:28:53,1,-73.96777,40.787476,-73.955595,40.78432,N,321,8.62
id1000189,2,2016-05-07 00:42:33,2016-05-07 00:51:19,2,-74.00961,40.746084,-74.024442,40.718567,N,526,15.06
id1000190,2,2016-03-21 23:34:58,2016-03-21 23:44:06,5,-74.017995,40.688097,-74.012333,40.726874,N,548,16.9
id1000191,1,2016-05-05 02:43:03,2016-05-05 02:48:51,2,-73.964721,40.780786,-73.974833,40.767261,N,348,9.98
id1000192,2,2016-01-03 13:37:01,2016-01-03 13:50:47,1,-73.990926,40.770844,-73.931313,40.76018,N,826,19.65
id1000193,2,2016-02-14 15:08:45,2016-02-14 15:28:33,1,-73.881173,40.775665,-73.976848,40.738928,N,1188,29.98
id1000194,1,2016-01-19 22:58:49,2016-01-19 23:27:15,2,-74.000335,40.755978,-74.037964,40.674964,N,1706,35.19
id1000195,2,2016-05-20 08:10:22,2016-05-20 09:02:19,1,-73.987378,40.706789,-73.93531,40.820203,N,3117,51.97
id1000196,1,2016-05-15 17:53:35,2016-05-15 18:15:06,1,-74.032101,40.697906,-73.976113,40.723147,N,1291,24.24
id1000197,2,2016-05-14 22:20:51,2016-05-14 22:46:21,1,-73.874218,40.77807,-73.960528,40.706783,N,1530,36.68
id1000198,2,2016-05-10 13:32:28,2016-05-10 13:54:04,1,-73.960439,40.742717,-74.017158,40.701158,N,1296,26.86
id1000199,1,2016-03-20 22:58:04,2016-03-20 23:14:57,1,-73.987874,40.731471,-73.946933,40.787821,N,1013,25.99
id1000200,2,2016-03-06 04:32:03,2016-03-06 05:15:37,1,-73.792241,40.645141,-74.016337,40.744382,N,2614,89.42
id1000201,1,2016-03-17 21:41:07,2016-03-17 22:00:44,1,-73.965306,40.724661,-74.013539,40.752537,N,1177,23.56
id1000202,2,2016-04-14 23:18:07,2016-04-14 23:30:17,1,-73.989017,40.699715,-73.924468,40.74889,N,730,24.96
id1000203,2,2016-04-09 02:59:00,2016-04-09 03:24:44,1,-73.962242,40.7755,-73.877178,40.77394,N,1544,29.92
id1000204,1,2016-04-06 14:37:34,2016-04-06 14:43:42,1,-73.98432,40.772496,-73.990035,40.754199,N,368,11.14
id1000205,2,2016-06-14 10:49:35,2016-06-14 11:34:17,1,-73.93887,40.738464,-73.780931,40.648627,N,2682,78.22
id1000206,2,2016-03-10 14:29:54,2016-03-10 14:56:28,1,-73.970781,40.743446,-73.940302,40.656936,N,1594,35.42
id1000207,1,2016-03-19 08:40:00,2016-03-19 08:58:38,1,-73.899224,40.817668,-73.988,40.725346,N,1118,38.03
id1000208,2,2016-06-03 08:37:17,2016-06-03 09:01:46,2,-73.958468,40.73566,-73.998737,40.769683,N,1469,26.92
id1000209,2,2016-06-14 11:18:05,2016-06-14 11:40:38,1,-73.987427,40.701738,-73.96637,40.818173,N,1353,40.16
