TransactionID,Item
T0037,Sugar
T0037,Laptop
T0037,Mouse
T0037,Coffee
T0038,Garlic
T0038,Coffee
T0039,Oranges
T0039,Garlic
T0039,Pasta
T0039,Olive Oil
T0040,Cheese
T0041,Mousepad
T0041,Sugar
T0041,Laptop
T0041,Mouse
T0041,Coffee
T0042,Olive Oil
T0042,Pasta
T0042,Garlic
T0042,Napkins
T0042,Diapers
T0043,Olive Oil
T0043,Milk
T0043,Tomato Sauce
T0043,Pasta
T0043,Cookies
T0043,Garlic
T0044,Mousepad
T0044,Laptop
T0044,Bananas
T0044,Mouse
T0044,Pasta
T0044,Cookies
T0045,Olive Oil
T0046,Mousepad
T0046,Olive Oil
T0046,Butter
T0046,Milk
T0046,Bread
T0046,Pasta
T0046,Garlic
T0046,Coffee
T0047,Tea
T0048,Beer
T0048,Diapers
T0049,Mousepad
T0049,Laptop
T0049,Mouse
T0049,Cookies
T0049,Garlic
T0049,Diapers
T0050,Coffee
T0050,Sugar
T0050,Diapers
T0050,Bread
T0051,Cookies
T0051,Pasta
T0052,Sugar
T0052,Coffee
T0053,Paper Towels
T0053,Mouse
T0053,Laptop
T0053,Bread
T0054,Butter
T0054,Milk
T0054,Bread
T0054,Coffee
T0054,Apples
T0055,Chips
T0055,Bread
T0055,Butter
T0056,Olive Oil
T0057,Headphones
T0058,Mousepad
T0058,Sugar
T0058,Laptop
T0058,Mouse
T0058,Coffee
T0059,Mousepad
T0059,Laptop
T0059,Butter
T0059,Olive Oil
T0059,Headphones
T0059,Mouse
T0059,Bread
T0059,Pasta
T0059,Garlic
T0060,Mouse
T0060,Laptop
T0060,Eggs
T0061,Beer
T0061,Pasta
T0061,Olive Oil
T0062,Mousepad
T0062,Laptop
T0062,Tea
T0062,Mouse
T0062,Bread
T0062,Soda
T0062,Beer
T0062,Diapers
T0063,Mouse
T0063,Cheese
T0064,Butter
T0064,Chips
T0064,Milk
T0064,Bread
T0064,Diapers
T0065,Sugar
T0065,Coffee
T0066,Butter
T0066,Milk
T0066,Bread
T0066,Beer
T0066,Coffee
T0066,Paper Towels
T0066,Diapers
T0067,Cheese
T0067,Diapers
T0068,Olive Oil
T0068,Bananas
T0068,Pasta
T0068,Beer
T0068,Garlic
T0069,Coffee
T0069,Sugar
T0069,Diapers
T0070,Diapers
T0071,Mousepad
T0071,Olive Oil
T0071,Laptop
T0071,Mouse
T0071,Pasta
T0071,Salsa
T0071,Garlic
T0071,Keyboard
T0072,Mousepad
T0072,Laptop
T0072,Mouse
T0072,Tomato Sauce
T0072,Cookies
T0073,Butter
T0074,Mousepad
T0074,Olive Oil
T0074,Laptop
T0074,Mouse
T0074,Pasta
T0074,Garlic
T0075,Beer
T0075,Diapers
T0076,Beer
T0076,Soda
T0077,Coffee
T0078,Olive Oil
T0078,Pasta
T0078,Beer
T0078,Garlic
T0078,Diapers
T0079,Cookies
T0079,Sugar
T0079,Coffee
T0079,Tea
T0080,Tomato Sauce
T0081,Mousepad
T0081,Sugar
T0081,Laptop
T0081,Mouse
T0081,Napkins
T0081,Coffee
T0082,Oranges
T0083,Mousepad
T0083,Laptop
T0083,Butter
T0083,Eggs
T0083,Mouse
T0083,Milk
T0083,Bread
T0083,Beer
T0084,Apples
T0085,Keyboard
T0085,Mouse
T0085,Tomato Sauce
T0086,Cereal
T0086,Bread
T0086,Olive Oil
T0086,Butter
T0087,Sugar
T0087,Butter
T0087,Milk
T0087,Bread
T0087,Beer
T0087,Coffee
T0087,Diapers
T0088,Milk
T0088,Napkins
T0088,Keyboard
T0089,Milk
T0089,Bread
T0089,Butter
T0090,Sugar
T0090,Olive Oil
T0090,Eggs
T0090,Milk
T0090,Coffee
T0091,Butter
T0091,Milk
T0091,Bread
T0091,Beer
T0091,Diapers
T0092,Bread
T0092,Tomato Sauce
T0092,Pasta
T0092,Olive Oil
T0093,Chips
T0093,Diapers
T0094,Sugar
T0094,Butter
T0094,Milk
T0094,Bread
T0094,Beer
T0094,Diapers
T0095,Cereal
T0096,Garlic
T0096,Coffee
T0096,Pasta
T0096,Olive Oil
T0097,Butter
T0097,Milk
T0097,Bread
T0097,Cookies
T0097,Coffee
T0097,Apples
T0097,Diapers
T0098,Chips
T0098,Sugar
T0098,Coffee
T0098,Garlic
T0099,Mousepad
T0099,Laptop
T0099,Mouse
T0099,Oranges
T0099,Coffee
T0100,Cereal
T0100,Mousepad
T0100,Coffee
T0101,Sugar
T0101,Coffee
T0102,Sugar
T0102,Mouse
T0102,Milk
T0102,Coffee
T0102,Apples
T0103,Tomato Sauce
T0103,Sugar
T0103,Coffee
T0104,Mousepad
T0104,Laptop
T0104,Mouse
T0104,Beer
T0104,Diapers
T0105,Garlic
T0105,Pasta
T0105,Olive Oil
T0106,Cookies
T0107,Milk
T0107,Bread
T0107,Butter
T0108,Milk
T0108,Bread
T0108,Laptop
T0108,Butter
T0109,Butter
T0109,Eggs
T0110,Sugar
T0110,Olive Oil
T0110,Butter
T0110,Milk
T0110,Bread
T0110,Pasta
T0110,Beer
T0110,Garlic
T0110,Coffee
T0110,Diapers
T0111,Mousepad
T0111,Olive Oil
T0111,Laptop
T0111,Mouse
T0111,Pasta
T0111,Garlic
T0111,Paper Towels
T0112,Milk
T0112,Bread
T0112,Butter
T0113,Laptop
T0113,Beer
T0113,Diapers
T0113,Salsa
T0114,Mousepad
T0114,Laptop
T0114,Mouse
T0114,Salsa
T0114,Pasta
T0114,Diapers
T0115,Butter
T0115,Milk
T0115,Bread
T0115,Beer
T0115,Diapers
T0116,Coffee
T0117,Mousepad
T0117,Laptop
T0117,Mouse
T0117,Yogurt
T0117,Beer
T0117,Apples
T0117,Diapers
T0118,Beer
T0118,Diapers
T0118,Sugar
T0118,Eggs
T0119,Olive Oil
T0119,Laptop
T0119,Mouse
T0119,Bread
T0119,Pasta
T0119,Garlic
T0119,Beer
T0120,Sugar
T0120,Butter
T0120,Milk
T0120,Bread
T0120,Salsa
T0120,Coffee
T0121,Bread
T0121,Diapers
T0121,Tea
T0122,Tomato Sauce
T0122,Beer
T0122,Diapers
T0122,Eggs
T0123,Sugar
T0123,Mousepad
T0123,Laptop
T0123,Butter
T0123,Eggs
T0123,Milk
T0123,Bread
T0123,Mouse
T0123,Coffee
T0123,Apples
T0124,Mousepad
T0124,Laptop
T0124,Mouse
T0124,Yogurt
T0124,Beer
T0124,Diapers
T0125,Olive Oil
T0125,Chips
T0125,Soda
T0125,Pasta
T0125,Cookies
T0125,Garlic
T0126,Olive Oil
T0126,Butter
T0126,Milk
T0126,Bread
T0126,Pasta
T0126,Garlic
T0127,Sugar
T0127,Olive Oil
T0127,Pasta
T0127,Garlic
T0127,Coffee
T0128,Cereal
T0128,Laptop
T0128,Olive Oil
T0128,Mouse
T0128,Soda
T0128,Pasta
T0128,Beer
T0128,Garlic
T0128,Diapers
T0129,Sugar
T0129,Laptop
T0129,Butter
T0129,Bread
T0129,Mouse
T0129,Coffee
T0130,Mousepad
T0130,Olive Oil
T0130,Laptop
T0130,Mouse
T0130,Pasta
T0131,Sugar
T0131,Mousepad
T0131,Laptop
T0131,Butter
T0131,Olive Oil
T0131,Milk
T0131,Bread
T0131,Mouse
T0131,Pasta
T0131,Tomato Sauce
T0131,Yogurt
T0131,Garlic
T0131,Coffee
T0132,Laptop
T0132,Olive Oil
T0132,Salsa
T0132,Pasta
T0132,Garlic
T0133,Tomato Sauce
T0134,Mousepad
T0134,Laptop
T0134,Butter
T0134,Olive Oil
T0134,Chips
T0134,Mouse
T0134,Milk
T0134,Bread
T0134,Pasta
T0134,Garlic
T0135,Mousepad
T0135,Laptop
T0135,Butter
T0135,Olive Oil
T0135,Mouse
T0135,Milk
T0135,Bread
T0135,Pasta
T0135,Garlic
T0136,Bread
T0136,Coffee
T0136,Butter
T0137,Mousepad
T0138,Olive Oil
T0138,Headphones
T0138,Milk
T0138,Pasta
T0138,Beer
T0138,Apples
T0138,Diapers
T0139,Olive Oil
T0139,Laptop
T0139,Mouse
T0139,Tomato Sauce
T0139,Pasta
T0139,Garlic
T0140,Sugar
T0140,Coffee
T0141,Tea
T0141,Butter
T0141,Milk
T0141,Bread
T0141,Pasta
T0141,Garlic
T0142,Garlic
T0142,Pasta
T0142,Olive Oil
T0143,Olive Oil
T0143,Bananas
T0143,Chips
T0143,Pasta
T0143,Garlic
T0144,Milk
T0144,Sugar
T0144,Coffee
T0145,Mousepad
T0145,Beer
T0145,Diapers
T0146,Sugar
T0146,Olive Oil
T0146,Tea
T0146,Butter
T0146,Pasta
T0146,Garlic
T0146,Coffee
T0146,Keyboard
T0147,Oranges
T0147,Beer
T0147,Diapers
T0148,Coffee
T0148,Sugar
T0148,Diapers
T0149,Sugar
T0149,Olive Oil
T0149,Soda
T0149,Pasta
T0149,Garlic
T0149,Cookies
T0150,Olive Oil
T0151,Mouse
T0151,Mousepad
T0151,Laptop
T0152,Bread
T0152,Diapers
T0152,Butter
T0153,Yogurt
T0153,Oranges
T0153,Beer
T0153,Cheese
T0153,Diapers
T0154,Milk
T0154,Bread
T0154,Butter
T0155,Butter
T0156,Bread
T0156,Headphones
T0156,Butter
T0157,Mousepad
T0157,Laptop
T0157,Butter
T0157,Bananas
T0157,Mouse
T0157,Milk
T0157,Bread
T0158,Olive Oil
T0158,Bread
T0158,Pasta
T0158,Garlic
T0158,Diapers
T0159,Sugar
T0159,Olive Oil
T0159,Butter
T0159,Milk
T0159,Bread
T0159,Pasta
T0159,Garlic
T0159,Coffee
T0160,Mousepad
T0160,Salsa
T0161,Sugar
T0161,Oranges
T0161,Beer
T0161,Coffee
T0161,Diapers
T0162,Mousepad
T0162,Olive Oil
T0162,Laptop
T0162,Mouse
T0162,Bread
T0162,Pasta
T0162,Garlic
T0162,Diapers
T0163,Diapers
T0163,Sugar
T0163,Napkins
T0163,Coffee
T0164,Paper Towels
T0165,Sugar
T0165,Butter
T0165,Eggs
T0165,Bread
T0165,Beer
T0165,Garlic
T0165,Coffee
T0165,Diapers
T0166,Butter
T0166,Bananas
T0166,Milk
T0166,Bread
T0166,Salsa
T0166,Beer
T0166,Diapers
T0167,Mousepad
T0167,Laptop
T0167,Mouse
T0167,Beer
T0167,Diapers
T0168,Sugar
T0168,Butter
T0168,Milk
T0168,Bread
T0168,Beer
T0168,Napkins
T0168,Coffee
T0168,Diapers
T0169,Olive Oil
T0169,Butter
T0169,Milk
T0169,Bread
T0169,Pasta
T0169,Oranges
T0169,Garlic
T0170,Mousepad
T0170,Olive Oil
T0170,Pasta
T0170,Cookies
T0170,Garlic
T0171,Salsa
T0171,Mouse
T0171,Mousepad
T0171,Laptop
T0172,Mousepad
T0172,Olive Oil
T0172,Laptop
T0172,Mouse
T0172,Yogurt
T0172,Pasta
T0172,Garlic
T0173,Pasta
T0174,Mousepad
T0174,Sugar
T0174,Laptop
T0174,Mouse
T0174,Coffee
T0175,Tea
T0175,Beer
T0175,Diapers
T0175,Salsa
T0176,Tea
T0176,Salsa
T0176,Olive Oil
T0177,Mousepad
T0177,Olive Oil
T0177,Laptop
T0177,Mouse
T0177,Pasta
T0177,Garlic
T0178,Bread
T0178,Diapers
T0178,Beer
T0178,Butter
T0179,Eggs
T0179,Butter
T0179,Bread
T0179,Garlic
T0179,Diapers
T0180,Mouse
T0180,Milk
T0180,Bread
T0180,Butter
T0181,Sugar
T0181,Coffee
T0182,Mousepad
T0182,Sugar
T0182,Laptop
T0182,Mouse
T0182,Bread
T0182,Salsa
T0182,Beer
T0182,Diapers
T0183,Beer
T0183,Yogurt
T0183,Diapers
T0184,Mousepad
T0184,Laptop
T0184,Butter
T0184,Mouse
T0184,Milk
T0184,Bread
T0185,Sugar
T0185,Bananas
T0185,Beer
T0185,Coffee
T0185,Diapers
T0186,Sugar
T0186,Olive Oil
T0186,Chips
T0186,Bread
T0186,Pasta
T0186,Beer
T0186,Garlic
T0186,Coffee
T0186,Diapers
T0187,Beer
T0187,Diapers
T0188,Butter
T0188,Milk
T0188,Bread
T0188,Beer
T0188,Diapers
T0189,Butter
T0189,Eggs
T0189,Milk
T0189,Bread
T0189,Beer
T0189,Diapers
T0190,Coffee
T0191,Bananas
T0191,Oranges
T0191,Beer
T0191,Diapers
T0192,Mousepad
T0192,Sugar
T0192,Laptop
T0192,Olive Oil
T0192,Chips
T0192,Mouse
T0192,Coffee
T0193,Beer
T0193,Mouse
T0193,Laptop
T0193,Olive Oil
T0194,Diapers
T0195,Mousepad
T0195,Olive Oil
T0195,Laptop
T0195,Mouse
T0195,Bread
T0195,Pasta
T0195,Oranges
T0195,Garlic
T0196,Cereal
T0196,Tea
T0196,Olive Oil
T0196,Pasta
T0196,Garlic
T0197,Sugar
T0197,Butter
T0197,Milk
T0197,Bread
T0197,Coffee
T0198,Butter
T0198,Milk
T0198,Bread
T0198,Beer
T0198,Diapers
T0199,Olive Oil
T0199,Butter
T0199,Milk
T0199,Bread
T0199,Pasta
T0199,Beer
T0200,Mouse
T0200,Salsa
T0200,Beer
T0200,Garlic
T0200,Diapers
T0201,Milk
T0201,Headphones
T0202,Milk
T0202,Beer
T0202,Diapers
T0203,Milk
T0203,Pasta
T0203,Bread
T0204,Beer
T0204,Napkins
T0204,Diapers
T0204,Soda
T0205,Milk
T0205,Cookies
T0205,Bread
T0205,Butter
T0206,Sugar
T0206,Olive Oil
T0206,Pasta
T0206,Garlic
T0206,Coffee
T0207,Cereal
T0207,Sugar
T0207,Olive Oil
T0207,Soda
T0207,Pasta
T0207,Garlic
T0207,Coffee
T0208,Bananas
T0209,Garlic
T0209,Pasta
T0209,Olive Oil
T0210,Pasta
T0211,Laptop
T0211,Olive Oil
T0211,Yogurt
T0211,Pasta
T0211,Garlic
T0212,Sugar
T0212,Soda
T0212,Coffee
T0212,Eggs
T0213,Mousepad
T0213,Laptop
T0213,Butter
T0213,Olive Oil
T0213,Mouse
T0213,Milk
T0213,Bread
T0213,Pasta
T0214,Cereal
T0214,Mousepad
T0214,Olive Oil
T0214,Laptop
T0214,Chips
T0214,Mouse
T0214,Yogurt
T0214,Pasta
T0214,Garlic
T0215,Olive Oil
T0215,Eggs
T0215,Bread
T0215,Pasta
T0215,Garlic
T0215,Keyboard
T0216,Cereal
T0216,Butter
T0216,Milk
T0216,Bread
T0216,Garlic
T0216,Apples
T0217,Butter
T0217,Milk
T0217,Bread
T0217,Beer
T0217,Napkins
T0217,Diapers
T0218,Bananas
T0218,Beer
T0218,Mousepad
T0219,Milk
T0219,Bread
T0219,Napkins
T0219,Butter
T0220,Bread
T0220,Diapers
T0220,Tea
T0221,Mouse
T0221,Laptop
T0222,Milk
T0222,Bread
T0222,Coffee
T0222,Butter
T0223,Pasta
T0223,Olive Oil
T0224,Beer
T0225,Sugar
T0225,Butter
T0225,Milk
T0225,Bread
T0225,Pasta
T0225,Coffee
T0226,Milk
T0226,Bread
T0226,Diapers
T0226,Butter
T0227,Laptop
T0227,Olive Oil
T0227,Pasta
T0227,Oranges
T0227,Garlic
T0228,Olive Oil
T0228,Salsa
T0228,Pasta
T0228,Garlic
T0228,Diapers
T0229,Olive Oil
T0229,Butter
T0229,Milk
T0229,Bread
T0229,Pasta
T0229,Garlic
T0229,Beer
T0230,Eggs
T0230,Headphones
T0230,Beer
T0230,Cheese
T0230,Diapers
T0231,Mousepad
T0231,Laptop
T0231,Tea
T0231,Chips
T0231,Mouse
T0231,Beer
T0231,Diapers
T0232,Sugar
T0232,Coffee
T0233,Sugar
T0233,Butter
T0233,Bread
T0233,Beer
T0233,Coffee
T0233,Diapers
T0234,Bread
T0234,Butter
T0235,Olive Oil
T0235,Pasta
T0235,Beer
T0235,Garlic
T0235,Diapers
T0236,Sugar
T0236,Mousepad
T0236,Laptop
T0236,Mouse
T0236,Beer
T0236,Coffee
T0236,Diapers
T0237,Salsa
T0238,Beer
T0238,Diapers
T0239,Sugar
T0239,Napkins
T0239,Coffee
T0240,Garlic
T0240,Diapers
T0240,Pasta
T0240,Olive Oil
T0241,Mousepad
T0241,Laptop
T0241,Mouse
T0241,Coffee
T0241,Diapers
T0242,Mousepad
T0242,Olive Oil
T0242,Pasta
T0242,Garlic
T0242,Keyboard
T0242,Apples
T0243,Yogurt
T0243,Cheese
T0243,Diapers
T0243,Tea
T0244,Mouse
T0244,Mousepad
T0244,Laptop
T0245,Butter
T0246,Cheese
T0247,Butter
T0247,Milk
T0247,Bread
T0247,Beer
T0247,Diapers
T0248,Garlic
T0248,Sugar
T0248,Pasta
T0248,Olive Oil
T0249,Butter
T0249,Milk
T0249,Bread
T0249,Salsa
T0249,Beer
T0249,Coffee
T0249,Diapers
T0250,Butter
T0250,Bread
T0250,Salsa
T0250,Beer
T0250,Diapers
T0251,Cheese
T0252,Olive Oil
T0252,Butter
T0252,Milk
T0252,Bread
T0252,Pasta
T0252,Beer
T0252,Garlic
T0252,Diapers
T0253,Cereal
T0253,Olive Oil
T0253,Tea
T0253,Pasta
T0253,Beer
T0253,Garlic
T0253,Diapers
T0254,Bread
T0254,Diapers
T0254,Butter
T0255,Sugar
T0255,Butter
T0255,Milk
T0255,Bread
T0255,Coffee
T0256,Napkins
T0257,Garlic
T0257,Eggs
T0257,Pasta
T0257,Olive Oil
T0258,Bananas
T0258,Beer
T0258,Diapers
T0259,Oranges
T0260,Sugar
T0260,Laptop
T0260,Butter
T0260,Milk
T0260,Bread
T0260,Salsa
T0260,Coffee
T0260,Diapers
T0261,Mousepad
T0261,Laptop
T0261,Butter
T0261,Olive Oil
T0261,Milk
T0261,Bread
T0261,Mouse
T0261,Pasta
T0261,Yogurt
T0261,Beer
T0261,Garlic
T0261,Diapers
T0262,Olive Oil
T0262,Tomato Sauce
T0262,Pasta
T0262,Beer
T0262,Keyboard
T0262,Paper Towels
T0262,Diapers
T0263,Diapers
T0263,Mouse
T0263,Mousepad
T0263,Laptop
T0264,Coffee
T0265,Pasta
T0265,Headphones
T0265,Butter
T0266,Mousepad
T0266,Sugar
T0266,Laptop
T0266,Eggs
T0266,Mouse
T0266,Salsa
T0266,Coffee
T0267,Beer
T0267,Napkins
T0267,Diapers
T0267,Butter
T0268,Chips
T0269,Beer
T0269,Soda
T0269,Diapers
T0269,Bread
T0270,Paper Towels
T0270,Cookies
T0271,Mousepad
T0271,Laptop
T0271,Butter
T0271,Olive Oil
T0271,Mouse
T0271,Milk
T0271,Bread
T0271,Pasta
T0271,Salsa
T0271,Garlic
T0272,Cereal
T0272,Beer
T0272,Napkins
T0273,Mouse
T0273,Mousepad
T0273,Laptop
T0274,Bread
T0274,Coffee
T0274,Sugar
T0274,Butter
T0275,Diapers
T0275,Headphones
T0275,Butter
T0276,Coffee
T0276,Headphones
T0277,Sugar
T0277,Olive Oil
T0277,Butter
T0277,Milk
T0277,Bread
T0277,Pasta
T0277,Garlic
T0277,Coffee
T0278,Sugar
T0278,Olive Oil
T0278,Bread
T0278,Pasta
T0278,Salsa
T0278,Oranges
T0278,Beer
T0278,Garlic
T0278,Coffee
T0278,Diapers
T0279,Sugar
T0279,Mousepad
T0279,Laptop
T0279,Butter
T0279,Chips
T0279,Bread
T0279,Mouse
T0279,Pasta
T0279,Coffee
T0280,Mouse
T0280,Mousepad
T0280,Laptop
T0281,Sugar
T0281,Butter
T0281,Milk
T0281,Bread
T0281,Salsa
T0281,Coffee
T0282,Olive Oil
T0282,Butter
T0282,Milk
T0282,Bread
T0282,Pasta
T0282,Oranges
T0282,Garlic
T0282,Cookies
T0283,Sugar
T0283,Butter
T0283,Milk
T0283,Bread
T0283,Beer
T0283,Coffee
T0283,Keyboard
T0283,Diapers
T0284,Milk
T0284,Bread
T0284,Butter
T0285,Headphones
T0285,Napkins
T0285,Pasta
T0285,Olive Oil
T0286,Mousepad
T0286,Olive Oil
T0286,Laptop
T0286,Mouse
T0286,Tomato Sauce
T0286,Pasta
T0286,Garlic
T0286,Coffee
T0286,Cheese
T0287,Cereal
T0287,Butter
T0287,Milk
T0287,Bread
T0287,Beer
T0287,Diapers
T0288,Tea
T0288,Tomato Sauce
T0288,Beer
T0288,Keyboard
T0288,Diapers
T0289,Mousepad
T0289,Coffee
T0290,Sugar
T0290,Mousepad
T0290,Laptop
T0290,Mouse
T0290,Milk
T0290,Beer
T0290,Coffee
T0290,Apples
T0290,Diapers
T0291,Butter
T0291,Milk
T0291,Bread
T0291,Beer
T0291,Coffee
T0292,Garlic
T0292,Pasta
T0292,Olive Oil
T0293,Cookies
T0293,Yogurt
T0293,Eggs
T0294,Mousepad
T0294,Laptop
T0294,Butter
T0294,Mouse
T0294,Milk
T0294,Bread
T0295,Napkins
T0295,Headphones
T0296,Diapers
T0297,Butter
T0298,Mousepad
T0298,Laptop
T0298,Butter
T0298,Mouse
T0298,Milk
T0298,Bread
T0299,Mouse
T0300,Mousepad
T0300,Sugar
T0300,Laptop
T0300,Olive Oil
T0300,Mouse
T0300,Tomato Sauce
T0300,Coffee
T0301,Mousepad
T0301,Laptop
T0301,Butter
T0301,Mouse
T0301,Milk
T0301,Bread
T0302,Cereal
T0302,Beer
T0302,Milk
T0302,Diapers
T0303,Olive Oil
T0304,Mousepad
T0304,Olive Oil
T0304,Laptop
T0304,Bananas
T0304,Chips
T0304,Mouse
T0304,Pasta
T0304,Garlic
T0305,Milk
T0305,Bread
T0305,Butter
T0306,Olive Oil
T0306,Tomato Sauce
T0306,Pasta
T0306,Garlic
T0306,Diapers
T0307,Milk
T0307,Bread
T0307,Butter
T0308,Mousepad
T0308,Olive Oil
T0308,Laptop
T0308,Mouse
T0308,Pasta
T0308,Garlic
T0309,Cereal
T0309,Diapers
T0310,Diapers
T0310,Garlic
T0310,Coffee
T0310,Eggs
T0311,Mousepad
T0311,Laptop
T0311,Mouse
T0311,Yogurt
T0311,Bread
T0311,Paper Towels
T0312,Beer
T0312,Bread
T0313,Mousepad
T0313,Laptop
T0313,Butter
T0313,Mouse
T0313,Milk
T0313,Bread
T0314,Mousepad
T0314,Laptop
T0314,Mouse
T0314,Bread
T0314,Keyboard
T0315,Mousepad
T0315,Laptop
T0315,Tea
T0315,Mouse
T0315,Beer
T0315,Diapers
T0316,Bread
T0316,Soda
T0316,Butter
T0317,Salsa
T0317,Pasta
T0317,Olive Oil
T0318,Laptop
T0319,Mousepad
T0320,Laptop
T0321,Sugar
T0321,Olive Oil
T0321,Butter
T0321,Bread
T0321,Pasta
T0321,Garlic
T0321,Coffee
T0322,Mousepad
T0322,Laptop
T0322,Mouse
T0322,Beer
T0322,Diapers
T0323,Apples
T0324,Bananas
T0325,Apples
T0326,Sugar
T0326,Laptop
T0326,Eggs
T0326,Mouse
T0326,Salsa
T0326,Beer
T0326,Coffee
T0327,Sugar
T0327,Cheese
T0327,Coffee
T0328,Laptop
T0328,Butter
T0328,Milk
T0328,Bread
T0328,Mouse
T0328,Coffee
T0329,Milk
T0329,Bread
T0329,Napkins
T0330,Headphones
T0330,Butter
T0330,Milk
T0330,Bread
T0330,Coffee
T0331,Mouse
T0331,Mousepad
T0331,Laptop
T0332,Bread
T0332,Cheese
T0332,Butter
T0333,Coffee
T0333,Salsa
T0334,Sugar
T0334,Coffee
T0335,Sugar
T0336,Eggs
T0337,Oranges
T0337,Mousepad
T0338,Cereal
T0338,Mousepad
T0338,Laptop
T0338,Olive Oil
T0338,Mouse
T0338,Cheese
T0339,Diapers
T0339,Sugar
T0339,Coffee
T0340,Sugar
T0340,Laptop
T0340,Mouse
T0340,Bread
T0340,Coffee
T0341,Beer
T0341,Napkins
T0341,Coffee
T0342,Tomato Sauce
T0343,Mousepad
T0343,Olive Oil
T0343,Salsa
T0343,Pasta
T0343,Garlic
T0344,Mouse
T0344,Sugar
T0344,Laptop
T0344,Eggs
T0345,Beer
T0345,Diapers
T0345,Eggs
T0346,Diapers
T0347,Laptop
T0347,Chips
T0347,Mouse
T0347,Cheese
T0347,Diapers
T0348,Salsa
T0349,Sugar
T0349,Mousepad
T0349,Laptop
T0349,Butter
T0349,Milk
T0349,Bread
T0349,Mouse
T0349,Napkins
T0349,Coffee
T0349,Diapers
T0350,Sugar
T0350,Yogurt
T0350,Cookies
T0350,Beer
T0350,Coffee
T0351,Coffee
T0351,Butter
T0352,Coffee
T0352,Diapers
T0353,Apples
T0354,Apples
T0354,Garlic
T0354,Pasta
T0354,Olive Oil
T0355,Cereal
T0355,Mousepad
T0355,Laptop
T0355,Mouse
T0355,Apples
T0355,Diapers
T0356,Tea
T0356,Garlic
T0356,Pasta
T0356,Olive Oil
T0357,Sugar
T0357,Butter
T0357,Milk
T0357,Bread
T0357,Beer
T0357,Coffee
T0357,Diapers
T0358,Olive Oil
T0358,Butter
T0358,Milk
T0358,Bread
T0358,Pasta
